"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","1960",2409.195491,
"AUS","GDP","TOT","USD_CAP","A","1961",2379.705491,
"AUS","GDP","TOT","USD_CAP","A","1962",2573.580478,
"AUS","GDP","TOT","USD_CAP","A","1963",2748.475664,
"AUS","GDP","TOT","USD_CAP","A","1964",2898.460541,
"AUS","GDP","TOT","USD_CAP","A","1965",2997.714205,
"AUS","GDP","TOT","USD_CAP","A","1966",3270.894847,
"AUS","GDP","TOT","USD_CAP","A","1967",3442.171342,
"AUS","GDP","TOT","USD_CAP","A","1968",3827.600452,
"AUS","GDP","TOT","USD_CAP","A","1969",4201.74299,
"AUS","GDP","TOT","USD_CAP","A","1970",4639.342662,
"AUS","GDP","TOT","USD_CAP","A","1971",4850.462534,
"AUS","GDP","TOT","USD_CAP","A","1972",5196.219988,
"AUS","GDP","TOT","USD_CAP","A","1973",5780.332232,
"AUS","GDP","TOT","USD_CAP","A","1974",6229.332791,
"AUS","GDP","TOT","USD_CAP","A","1975",6920.647946,
"AUS","GDP","TOT","USD_CAP","A","1976",7377.136633,
"AUS","GDP","TOT","USD_CAP","A","1977",7707.309245,
"AUS","GDP","TOT","USD_CAP","A","1978",8530.852646,
"AUS","GDP","TOT","USD_CAP","A","1979",9431.085927,
"AUS","GDP","TOT","USD_CAP","A","1980",10450.074214,
"AUS","GDP","TOT","USD_CAP","A","1981",11924.422157,
"AUS","GDP","TOT","USD_CAP","A","1982",11959.062085,
"AUS","GDP","TOT","USD_CAP","A","1983",12742.593915,
"AUS","GDP","TOT","USD_CAP","A","1984",13558.887189,
"AUS","GDP","TOT","USD_CAP","A","1985",14495.430755,
"AUS","GDP","TOT","USD_CAP","A","1986",14921.385787,
"AUS","GDP","TOT","USD_CAP","A","1987",16037.945658,
"AUS","GDP","TOT","USD_CAP","A","1988",17073.509875,
"AUS","GDP","TOT","USD_CAP","A","1989",17790.141016,
"AUS","GDP","TOT","USD_CAP","A","1990",17785.328152,
"AUS","GDP","TOT","USD_CAP","A","1991",18132.432962,
"AUS","GDP","TOT","USD_CAP","A","1992",19109.048164,
"AUS","GDP","TOT","USD_CAP","A","1993",20133.473549,
"AUS","GDP","TOT","USD_CAP","A","1994",21364.808576,
"AUS","GDP","TOT","USD_CAP","A","1995",22372.99337,
"AUS","GDP","TOT","USD_CAP","A","1996",23234.667226,
"AUS","GDP","TOT","USD_CAP","A","1997",24413.680589,
"AUS","GDP","TOT","USD_CAP","A","1998",25656.931745,
"AUS","GDP","TOT","USD_CAP","A","1999",27098.221278,
"AUS","GDP","TOT","USD_CAP","A","2000",28260.390995,
"AUS","GDP","TOT","USD_CAP","A","2001",29453.585522,
"AUS","GDP","TOT","USD_CAP","A","2002",30740.962903,
"AUS","GDP","TOT","USD_CAP","A","2003",32203.982172,
"AUS","GDP","TOT","USD_CAP","A","2004",33886.624494,
"AUS","GDP","TOT","USD_CAP","A","2005",35570.808015,
"AUS","GDP","TOT","USD_CAP","A","2006",37862.570607,
"AUS","GDP","TOT","USD_CAP","A","2007",39612.856505,
"AUS","GDP","TOT","USD_CAP","A","2008",40094.833205,
"AUS","GDP","TOT","USD_CAP","A","2009",41613.636163,
"AUS","GDP","TOT","USD_CAP","A","2010",42812.136116,
"AUS","GDP","TOT","USD_CAP","A","2011",44419.309749,
"AUS","GDP","TOT","USD_CAP","A","2012",43879.180355,
"AUS","GDP","TOT","USD_CAP","A","2013",47761.21406,
"AUS","GDP","TOT","USD_CAP","A","2014",47638.633438,
"AUS","GDP","TOT","USD_CAP","A","2015",47351.047292,
"AUS","GDP","TOT","USD_CAP","A","2016",50262.606439,
"AUT","GDP","TOT","USD_CAP","A","1970",3823.61049,"E"
"AUT","GDP","TOT","USD_CAP","A","1971",4203.710914,"E"
"AUT","GDP","TOT","USD_CAP","A","1972",4631.120403,"E"
"AUT","GDP","TOT","USD_CAP","A","1973",5095.273075,"E"
"AUT","GDP","TOT","USD_CAP","A","1974",5762.932267,"E"
"AUT","GDP","TOT","USD_CAP","A","1975",6290.473623,"E"
"AUT","GDP","TOT","USD_CAP","A","1976",6952.34804,"E"
"AUT","GDP","TOT","USD_CAP","A","1977",7756.466328,"E"
"AUT","GDP","TOT","USD_CAP","A","1978",8291.264657,"E"
"AUT","GDP","TOT","USD_CAP","A","1979",9476.283505,"E"
"AUT","GDP","TOT","USD_CAP","A","1980",10511.170558,"E"
"AUT","GDP","TOT","USD_CAP","A","1981",11459.892112,"E"
"AUT","GDP","TOT","USD_CAP","A","1982",12403.738328,"E"
"AUT","GDP","TOT","USD_CAP","A","1983",13294.24904,"E"
"AUT","GDP","TOT","USD_CAP","A","1984",13781.798181,"E"
"AUT","GDP","TOT","USD_CAP","A","1985",14566.054551,"E"
"AUT","GDP","TOT","USD_CAP","A","1986",15191.713605,"E"
"AUT","GDP","TOT","USD_CAP","A","1987",15768.620182,"E"
"AUT","GDP","TOT","USD_CAP","A","1988",16839.039589,"E"
"AUT","GDP","TOT","USD_CAP","A","1989",18097.679581,"E"
"AUT","GDP","TOT","USD_CAP","A","1990",19442.317142,"E"
"AUT","GDP","TOT","USD_CAP","A","1991",20585.015394,"E"
"AUT","GDP","TOT","USD_CAP","A","1992",21259.636773,"E"
"AUT","GDP","TOT","USD_CAP","A","1993",21698.32103,"E"
