"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BRA","SELFEMP","TOT","PC_EMP","A","2001",37.11788,
"BRA","SELFEMP","TOT","PC_EMP","A","2002",37.19898,
"BRA","SELFEMP","TOT","PC_EMP","A","2003",37.20444,"B"
"BRA","SELFEMP","TOT","PC_EMP","A","2004",36.55495,
"BRA","SELFEMP","TOT","PC_EMP","A","2005",36.58573,
"BRA","SELFEMP","TOT","PC_EMP","A","2006",35.81099,
"BRA","SELFEMP","TOT","PC_EMP","A","2007",34.741,
"BRA","SELFEMP","TOT","PC_EMP","A","2008",33.78785,
"BRA","SELFEMP","TOT","PC_EMP","A","2009",33.27984,
"BRA","SELFEMP","TOT","PC_EMP","A","2011",31.61625,
"BRA","SELFEMP","TOT","PC_EMP","A","2012",31.22317,
"BRA","SELFEMP","TOT","PC_EMP","A","2013",31.15304,
"BRA","SELFEMP","TOT","PC_EMP","A","2014",32.27552,
"BRA","SELFEMP","TOT","PC_EMP","A","2015",32.94103,"B"
"BRA","SELFEMP","TOT","PC_EMP","A","2016",31.7404,
"BRA","SELFEMP","TOT","PC_EMP","A","2017",32.30655,
