"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BRA","UNEMP","TOT","PC_LF","A","1981",14.11294,
"BRA","UNEMP","TOT","PC_LF","A","1982",11.1924,
"BRA","UNEMP","TOT","PC_LF","A","1983",11.96645,
"BRA","UNEMP","TOT","PC_LF","A","1984",12.71221,
"BRA","UNEMP","TOT","PC_LF","A","1985",9.388283,
"BRA","UNEMP","TOT","PC_LF","A","1986",6.420115,
"BRA","UNEMP","TOT","PC_LF","A","1987",6.670191,
"BRA","UNEMP","TOT","PC_LF","A","1988",6.874122,
"BRA","UNEMP","TOT","PC_LF","A","1989",5.989923,
"BRA","UNEMP","TOT","PC_LF","A","1990",7.649656,
"BRA","UNEMP","TOT","PC_LF","A","1991",8.628675,
"BRA","UNEMP","TOT","PC_LF","A","1992",10.11321,
"BRA","UNEMP","TOT","PC_LF","A","1993",9.495458,
"BRA","UNEMP","TOT","PC_LF","A","1994",9.046363,
"BRA","UNEMP","TOT","PC_LF","A","1995",8.297771,
"BRA","UNEMP","TOT","PC_LF","A","1996",9.698496,
"BRA","UNEMP","TOT","PC_LF","A","1997",10.1205,
"BRA","UNEMP","TOT","PC_LF","A","1998",13.57989,
"BRA","UNEMP","TOT","PC_LF","A","1999",13.49817,
"BRA","UNEMP","TOT","PC_LF","A","2000",12.74794,
"BRA","UNEMP","TOT","PC_LF","A","2001",11.17487,
"BRA","UNEMP","TOT","PC_LF","A","2002",11.72885,"B"
"BRA","UNEMP","TOT","PC_LF","A","2003",12.41303,
"BRA","UNEMP","TOT","PC_LF","A","2004",11.55047,
"BRA","UNEMP","TOT","PC_LF","A","2005",9.889733,
"BRA","UNEMP","TOT","PC_LF","A","2006",10.02963,
"BRA","UNEMP","TOT","PC_LF","A","2007",9.348774,
"BRA","UNEMP","TOT","PC_LF","A","2008",7.928607,
"BRA","UNEMP","TOT","PC_LF","A","2009",8.108846,
"BRA","UNEMP","TOT","PC_LF","A","2010",6.757159,
"BRA","UNEMP","TOT","PC_LF","A","2011",5.978367,
"BRA","UNEMP","TOT","PC_LF","A","2012",5.520268,
"BRA","UNEMP","TOT","PC_LF","A","2013",5.400495,
"BRA","UNEMP","TOT","PC_LF","A","2014",4.851514,
"OECD","UNEMP","TOT","PC_LF","A","2005",6.569622,"E"
"OECD","UNEMP","TOT","PC_LF","A","2006",6.057565,"B"
"OECD","UNEMP","TOT","PC_LF","A","2007",5.596682,"B"
"OECD","UNEMP","TOT","PC_LF","A","2008",5.929479,"B"
"OECD","UNEMP","TOT","PC_LF","A","2009",8.104794,"B"
"OECD","UNEMP","TOT","PC_LF","A","2010",8.312364,"B"
"OECD","UNEMP","TOT","PC_LF","A","2011",7.93869,"B"
"OECD","UNEMP","TOT","PC_LF","A","2012",7.936302,
"OECD","UNEMP","TOT","PC_LF","A","2013",7.876283,"B"
"OECD","UNEMP","TOT","PC_LF","A","2014",7.35627,"B"
"OECD","UNEMP","TOT","PC_LF","A","2015",6.770274,"B"
"OECD","UNEMP","TOT","PC_LF","A","2016",6.32796,"B"
"OECD","UNEMP","TOT","PC_LF","A","2017",5.768556,"B"
"OECD","UNEMP","TOT","PC_LF","A","2018",5.296664,
